ID;Alias;Apellidos;Nombre;Dirección;Población;Teléfono;Móvil;Email;Observaciones;Sexo;Fecha Nacimiento;Estado Civil;Hijos;Desempleado;Profesión;Nivel académico;Peso Kg;Altura;Cabello;Ojos;Fumador;Salud
113;Superman;MORALES GESE;JAIRO;SANT JOAN, EDIFICI D , 3R A;Barcelona;936587454;600541125;superman@altecom.es;;Hombre;15/05/63;Separado/a;0;FALSO;Funcionario/a;Bachillerato;85;1,78;Pelirrojo;Negros;FALSO;Fatal
114;Superwoman;BARALDÉS MARTORELL;CRISTINA;VIC , 119, 3R., 2A.;Valencia;938725845;;superwoman@wandoo.es;;Mujer;30/10/63;Soltero/a;0;FALSO;Conductor/a;Diplomado/a;101;1,86;Calvo;Azules;FALSO;Excelente
115;Tablon;AROCA GÓMEZ;DAVID;CARLES BUÏGAS , 10, 1R., 1A.;Barcelona;938205730;;tablon@hotmail.com;Mucha discreción;Hombre;23/10/57;Casado/a;;FALSO;Recepcionista;EGB;58;1,83;Otros;Negros;FALSO;Buena
116;tendre;RUEDA ALVAREZ;ADRIÀ;JAUME BALMES , 67, 2N.;Madrid;936828258;;tendre@terra.es;;Hombre;25/12/61;Otros;1;FALSO;;Elementales;76;1,71;Pelirrojo;Verdes;FALSO;Buena
117;Teta;ALVAREZ DOMENECH;LUCIA;PROL. PADRÓ , 1, 3R., 2A.;Valencia;938300045;;teta@intercom.es;;Mujer;13/11/68;Casado/a;0;FALSO;Administrativo/a;Elementales;62;1,58;Otros;Otro;VERDADERO;Regular
118;Tomasa;BOIX GONZÁLEZ;CARLA;DE LA CAÇA , 12, 2N., C;Tarragona;936521452;624487554;tomasa@hotmail.com;;Mujer;29/05/63;Casado/a;0;FALSO;;Licenciado/a;49;1,55;Castaño;Marrones;FALSO;Buena
119;Tranquil;BARALDÉS MONRÓS;ADRIÀ;VIC , 119, 2N., 1A.;Valencia;938725885;;;;Hombre;12/01/68;Divorciado/a;0;VERDADERO;Funcionario/a;FP;62;1,58;Calvo;Marrones;VERDADERO;Regular
120;Tremenda;AGUILERA MERINO;MARTA;MORAGUES , 1;Valencia;938208303;621145584;tremenda@altecom.es;;Mujer;27/09/64;Separado/a;1;FALSO;Comercial;Bachillerato;75;1,77;Pelirrojo;Otro;FALSO;Regular
121;Tripa;BAREA D'HAENE;MARC;TRABUCAIRES , 12;Valencia;938360213;;tripa@intercom.es;;Hombre;07/05/58;Casado/a;;FALSO;Administrativo/a;EGB;74;1,58;Pelirrojo;Marrones;FALSO;Fatal
122;Verruga;BARROSO D'HAENE;ALEX;FONERIA , 12;Valencia;938320537;;verruga@hotmail.com;;Hombre;13/09/61;Divorciado/a;;FALSO;Administrativo/a;Elementales;76;1,65;Calvo;Verdes;FALSO;Buena
